Year Month Day,neg,neu,pos
2015-7-3,0.0,23.0,0.0
2015-7-30,0.0,39.0,0.0
2015-7-31,2.0,75.0,1.0
2015-7-4,0.0,7.0,0.0
2015-7-5,0.0,17.0,0.0
2015-7-6,0.0,17.0,0.0
2015-7-7,0.0,16.0,0.0
2015-7-8,0.0,11.0,0.0
2015-7-9,0.0,18.0,0.0
2015-8-1,0.0,16.0,0.0
2015-8-10,0.0,22.0,1.0
2015-8-11,0.0,34.0,0.0
2015-8-12,0.0,28.0,0.0
2015-8-13,0.0,33.0,0.0
2015-8-14,0.0,22.0,2.0
2015-8-15,0.0,41.0,0.0
2015-8-16,0.0,16.0,0.0
2015-8-17,1.0,14.0,0.0
2015-8-18,0.0,23.0,0.0
2015-8-19,0.0,58.0,2.0
2015-8-2,0.0,70.0,1.0
2015-8-20,0.0,37.0,0.0
2015-8-21,0.0,10.0,0.0
2015-8-22,0.0,1.0,0.0
2015-8-23,0.0,5.0,0.0
2015-8-24,0.0,17.0,0.0
2015-8-25,0.0,6.0,0.0
2015-8-26,0.0,4.0,0.0
2015-8-28,0.0,2.0,0.0
2015-8-29,1.0,6.0,0.0
2015-8-3,0.0,30.0,0.0
2015-8-30,0.0,4.0,0.0
2015-8-31,0.0,1.0,0.0
2015-8-4,0.0,34.0,0.0
2015-8-5,0.0,37.0,0.0
2015-8-6,0.0,41.0,1.0
2015-8-7,0.0,54.0,0.0
2015-8-8,0.0,20.0,0.0
2015-8-9,0.0,18.0,0.0
2015-9-1,0.0,4.0,0.0
2015-9-10,0.0,20.0,0.0
2015-9-11,0.0,21.0,0.0
2015-9-12,0.0,14.0,0.0
2015-9-13,1.0,28.0,0.0
2015-9-14,0.0,30.0,0.0
2015-9-15,0.0,27.0,0.0
2015-9-16,0.0,34.0,0.0
2015-9-17,0.0,36.0,0.0
2015-9-18,0.0,76.0,1.0
2015-9-19,0.0,12.0,1.0
2015-9-2,0.0,3.0,0.0
2015-9-20,0.0,24.0,1.0
2015-9-21,1.0,30.0,1.0
2015-9-22,0.0,25.0,1.0
2015-9-23,0.0,32.0,0.0
2015-9-24,0.0,18.0,0.0
2015-9-25,0.0,31.0,0.0
2015-9-26,0.0,17.0,0.0
2015-9-27,0.0,14.0,0.0
2015-9-28,0.0,19.0,0.0
2015-9-29,1.0,40.0,1.0
2015-9-30,0.0,20.0,0.0
2015-9-4,0.0,7.0,0.0
2015-9-5,0.0,3.0,1.0
2015-9-6,0.0,14.0,0.0
2015-9-7,0.0,3.0,0.0
2015-9-8,0.0,40.0,0.0
2015-9-9,0.0,35.0,0.0
2016-1-1,0.0,27.0,0.0
2016-1-10,0.0,7.0,0.0
2016-1-11,0.0,16.0,1.0
